condition,condition_key,trial,file,window_index,start_seconds,midpoint_seconds,video_repeat,eeg_exponent,eeg_r2,eeg_flag,model_flag,accepted_without_eog_screen,duration_seconds,blink_candidates,blink_rate_per_min,horizontal_saccades,horizontal_saccades_per_min,vertical_saccades,vertical_saccades_per_min,horizontal_direction_balance,vertical_direction_balance,horizontal_rms_uv,vertical_rms_uv,horizontal_drift_rms_uv,vertical_drift_rms_uv,horizontal_total_variation_uv_per_min,vertical_total_variation_uv_per_min
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,4,22.0,32.0,1.0,0.6187437617654372,0.7037870230698663,False,True,False,20.0,7,21.0,10,30.0,5,15.0,0.19999999999999996,-0.19999999999999996,432.5991369986149,248.30599743613092,389.7564950791331,200.53508940615788,35038.93132214645,34054.713315750596
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,8,42.0,52.0,1.0,0.9853126784273613,0.5844629366529484,False,True,False,20.0,7,21.0,5,15.0,6,18.0,-0.19999999999999996,0.0,125.62216251900692,192.3999869180385,76.30555429116899,153.9053699623099,24226.468623340465,47279.74637574277
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,12,62.0,72.0,1.0,1.3027837364358352,0.7479499445159845,False,True,False,20.0,4,12.0,23,69.0,7,21.0,-0.13043478260869562,0.14285714285714285,1595.8757232241558,190.89149847722177,1262.8349217136904,157.32510932791897,119803.75716252846,31264.443583749457
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,16,82.0,92.0,1.0,1.3516467768511566,0.68595178035637,False,True,False,20.0,8,24.0,6,18.0,3,9.0,0.0,0.3333333333333333,182.98288188865993,189.0529086604536,140.17107789573936,157.45064958270254,20405.503075663357,35333.229741104995
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,20,102.0,112.0,1.0,0.777916806397215,0.6951680629923251,False,True,False,20.0,6,18.0,9,27.0,3,9.0,0.11111111111111116,0.3333333333333333,279.6929589035844,183.21942706568842,221.55998315130898,147.637658280116,29953.286161221426,35512.29044496453
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,24,122.0,132.0,1.0,1.095245162228841,0.6291409735014384,False,True,False,20.0,4,12.0,12,36.0,1,3.0,0.0,1.0,78.00348597702816,103.81278629688238,48.708903329004244,42.880259645990925,22211.276139770627,28978.702132156934
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,28,142.0,152.0,1.0,1.195932061678649,0.6458458945510099,False,True,False,20.0,16,48.0,13,39.0,9,27.0,0.23076923076923078,0.3333333333333333,256.24314697713186,207.1788321852077,167.32823402991144,109.9916938283756,65085.477217236534,84276.11485918434
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,32,162.0,172.0,1.0,1.49573622394442,0.8029933433693424,False,False,True,20.0,11,33.0,15,45.0,10,30.0,-0.06666666666666665,0.19999999999999996,329.16891831296,189.0370003309201,244.54535839195734,133.89000203498557,64739.06363367,65552.40448648314
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,36,182.0,192.0,1.0,1.1001316470655598,0.8450067132280434,True,False,False,20.0,9,27.0,7,21.0,6,18.0,-0.14285714285714285,0.0,270.6439313479902,154.73339407429899,189.74575700646125,62.805429233609566,53435.87517983953,60156.38222955179
Video,video,1,OpenBCI-RAW-2026-06-05_15-20-10.txt,40,202.0,212.0,1.0,0.8037974843399475,0.7741424201446753,False,True,False,20.0,12,36.0,23,69.0,12,36.0,0.13043478260869562,-0.16666666666666669,187.67157660805375,126.12305903545521,117.3786275360447,71.35005797302131,52535.70662990164,66210.73089636154
